State,District,Population,State_Match,District_Match,Banking_Outlets,Population_per_Bank,Banking_Access_Rank,Banking_Access_Category,Expected_Banking_Outlets,Banking_Outlet_Gap,Banking_Gap_Priority
ASSAM,CHIRANG,482162,ASSAM,CHIRANG,20,24108.1,163.0,High Population per Bank,33.72,13.72,Low Priority
WEST BENGAL,KOCH BIHAR,2819086,WEST BENGAL,KOCH BIHAR,117,24094.752136752137,164.0,High Population per Bank,197.16,80.16,Very High Priority
UTTAR PRADESH,DEORIA,3100946,UTTAR PRADESH,DEORIA,129,24038.341085271317,165.0,High Population per Bank,216.87,87.87,Very High Priority
UTTAR PRADESH,KANNAUJ,1656616,UTTAR PRADESH,KANAUJ,69,24008.927536231884,166.0,High Population per Bank,115.86,46.86,High Priority
UTTAR PRADESH,KHERI,4021243,UTTAR PRADESH,KHERI,168,23935.970238095237,167.0,High Population per Bank,281.24,113.24,Very High Priority
MADHYA PRADESH,BARWANI,1385881,MADHYA PRADESH,BARWANI,58,23894.5,168.0,High Population per Bank,96.92,38.92,High Priority
NAGALAND,PEREN,95219,NAGALAND,PEREN,4,23804.75,169.0,High Population per Bank,6.66,2.66,Low Priority
MADHYA PRADESH,SHAHDOL,1066063,MADHYA PRADESH,SHAHDOL,45,23690.28888888889,170.0,High Population per Bank,74.56,29.56,Moderate Priority
UTTAR PRADESH,UNNAO,3108367,UTTAR PRADESH,UNNAO,132,23548.234848484848,171.0,High Population per Bank,217.39,85.39,Very High Priority
BIHAR,PURNIA,3264619,BIHAR,PURNIA,139,23486.46762589928,172.0,High Population per Bank,228.32,89.32,Very High Priority
UTTAR PRADESH,JALAUN,1689974,UTTAR PRADESH,JALAUN,72,23471.86111111111,173.0,High Population per Bank,118.19,46.19,High Priority
MADHYA PRADESH,RAJGARH,1545814,MADHYA PRADESH,RAJGARH,66,23421.424242424244,174.0,High Population per Bank,108.11,42.11,High Priority
BIHAR,BUXAR,1706352,BIHAR,BUXAR,73,23374.68493150685,175.0,High Population per Bank,119.34,46.34,High Priority
UTTAR PRADESH,RAMPUR,2335819,UTTAR PRADESH,RAMPUR,100,23358.19,176.0,High Population per Bank,163.36,63.36,High Priority
UTTAR PRADESH,FIROZABAD,2498156,UTTAR PRADESH,FIROZABAD,107,23347.252336448597,177.0,High Population per Bank,174.71,67.71,Very High Priority
MEGHALAYA,JAINTIA HILLS,395124,MEGHALAYA,WEST JAINTIA HILLS,17,23242.58823529412,178.0,High Population per Bank,27.63,10.63,Low Priority
MAHARASHTRA,NANDURBAR,1648295,MAHARASHTRA,NANDURBAR,71,23215.422535211266,179.0,High Population per Bank,115.28,44.28,High Priority
TRIPURA,NORTH TRIPURA,693947,TRIPURA,NORTH TRIPURA,30,23131.566666666666,180.0,High Population per Bank,48.53,18.53,Moderate Priority
